k,v
010201002010100102010021102001220120211222,0
010201002010100102010021102001222121211222,4
010201002010100122010021112001222121211222,2
010201002110100122010021112021222121211222,2
011201002110100122010021112221222121211222,6
011201002110100122011221112221222121211222,0
011201022110101122011221112221222121211222,6
211201022110111122011221112221222121211222,6
211201122110111122211221112221222121211222,4
000200000010200012010121122021221102211120,5
000201000010202012010121122021221102211120,6
000201020010202012010121122021221102211121,4
200201020010202012110121122021221102211121,2
202201020110202012110121122021221102211121,4
202221020111202012110121122021221102211121,6
202221020111202012110121122221221112211121,6
202221020111222012111121122221221112211121,6
202221120111222212111121122221221112211121,1
000200000010000102010020102021020102211120,4
000200002010000102010020122021121102211120,5
000200002010100102210020122021121102211120,4
000200002011100102210220122021121102211120,0
000200002011101102210222122021121102211120,5
020201002011101102210222122021121102211120,6
020201022011101102210222122021121102211121,6
020201022011101102210222122221121112211121,0
120221022011101102210222122221121112211121,6
120221022011121102211222122221121112211121,6
120221122011121122211222122221121112211121,2
000000002010100102010020102001220120211122,2
000000002010100122010021102001220120211122,2
002200000110000012000002102010120112221012,1
002200000110000012000022102011120112221012,1
020000002010100102010020102001020120211122,0
020200002010100102010020102001020121211122,6
000200002110100122010021102001220120211122,6
002200002110100122010021102101220120211122,5
002201002110100122010021102101222120211122,1
000210010011001002100220120021021022101202,0
100210010011001002100220120221021022101202,6
020200002010100102010020102101022121211122,5
020201002010100102010020102101222121211122,4
000200000210100012210022112001121202121120,4
000102021010201102010220122021021102201121,1
010102021010201102010220122021021102221121,2
210102021010201102010220122021121102221121,6
210102021010201102010220122221121112221121,2
210102021010201122010221122221121112221121,2
210102021110201122012221122221121112221121,6
212102021110211122012221122221121112221121,6
212102121110211122212221122221121112221121,4
000200201012010102102020120121221022111201,0
000220201012010102102120120121221022111201,1
010220201012010102102120120121221022111221,5
010220201012010102102120122121221122111221,2
000200000011000102210020112001222100211122,2
010200001010000102000020100201020021221021,0
010200001010000102000220100211020021221021,5
010200001010000102002220100211020121221021,6
000202001010200102010020102001020101221021,0
000202001010200102010220102011020101221021,0
000210000011000002100020120001021022101202,6
000210000011000002100020120121021022101202,6
000210000011020002101020120121021022101202,6
000210100011020002101220120121021022101202,0
000210100011021002101220120121021022101222,5
000200000010100012010022102001121202121122,4
000220010211202012210122112012121211121122,6
200220010211202012210122112112121211121122,5
200221010211202012212122112112121211121122,2
201221010211222012212122112112121211121122,6
201221110211222212212122112112121211121122,1
000201000010100002010200102020020101021221,4
000201000010102002010200102020021101021221,0
000201010010102002010200102020021121021221,2
000201010010102002010202102020121121021221,2
000201010210102012010202102020121121021221,2
001201010210102012010202102220121121021221,0
101201010210102012010202102220121121221221,4
101201010210102012210202112220121121221221,4
101221010211102012210202112220121121221221,1
101221010211102012210222112221121121221221,1
101221012211102112210222112221121121221221,1
000200000010000102210020122021121102211120,4
200201010210102212010112102022122101221112,6
200201010210102212010112102222122111221112,2
201201012210102212010112102222122111221112,1
211201012210102212012112102222122111221112,6
211201212210112212012112102222122111221112,4
211201212210112212212112112222122111221112,4
000200001010200102011020102201120122211122,0
000200001010220102011020102211120122211122,1
010200001010220102011220102211120122211122,5
010201001010220102011220102211122122211122,2
010201001010220122011221102211122122211122,2
012201001110220122011221102211122122211122,0
012201021110221122011221102211122122211122,0
112201021110221122011221122211122122211122,6
112201121110221122211221122211122122211122,4
000200000011000012210002112002121200121122,0
000220000011000012210022112012121201121122,6
000220000011000012210222112012121211121122,1
000220002011000112210222112012121211121122,5
000220002211100112210222112012121211121122,5
020221002211100112210222112012121211121122,2
021221002211102112210222112012121211121122,0
221221012211102112210222112012121211121122,6
221221012211102112212222112112121211121122,6
010200002010100102010020102001020121211222,4
010200002010100102010020102021021121211222,0
000000002011100102210020122021021102201120,5
020001002011100102210020122021021102201120,3
020121002011100102210020122021021102201120,2
020121002011100102210020122021021102211122,6
020121002011100102210020122221021112211122,2
000100002010100102011020102221220112221021,0
000100002010120102011120102221220112221021,2
000100202010120102011121102221220112221021,4
000100202010122102011121102221220112221121,1
010100202010122102011121102221222112221121,4
010102202010122102011121112221222112221121,0
010102212010122102211121112221222112221121,0
110102212012122102211121112221222112221121,4
110112212012122122211121112221222112221121,2
000200000010000012000002102000121200121120,5
000200000010000012010002102000121202121120,1
000220000211100012210022112001121202121120,1
000220002211100112210022112001121202121120,5
000200002010100102010020102001020102201120,1
010202002010100102010020102001020102201120,6
010202002010100102010020102021020102201121,2
010202002010100102010220102021020102211121,0
010202022010101102010220102021020102211121,2
010202022010101102010222102021120102211121,6
210202022010101102010222102021120112211121,6
020102002010100102010021122201221112221121,6
020102002010100102211021122201221112221121,4
020102002011120102211021122201221112221121,4
020112202011120102211021122201221112221121,0
020112202011120102211221122211221112221121,0
211202022211102112210122112121122122211121,4
211212022211102112212122112121122122211121,6
000200001010200102010020102021122102211120,5
020200001012000102102120120121221022111201,4
020210001012000102102120120121221022111221,5
020210001012020102102120120121221122111221,6
020210101012020102102120122121221122111221,5
020210101012220102112120122121221122111221,2
020210101012220122112121122121221122111221,2
020212101112220122112121122121221122111221,2
021212101112222122112121122121221122111221,0
